3.705,-2.2772,2.2565
3.6938,-1.3758,2.6031
3.4284,-0.19607,2.4723
3.2979,1.1074,2.6644
2.5848,2.6333,2.699
4.0068,-2.2533,1.2899
3.9578,-1.2764,1.4283
3.6652,-0.13894,1.5369
3.4544,1.0228,1.7137
2.9014,2.3027,1.4923
4.6384,-2.557,0.015131
4.2083,-1.4389,0.57689
4.3446,-0.48847,0.33139
4.0814,0.30474,0.35592
3.764,1.2378,0.085102
3.3163,1.9782,0.071037
2.7374,2.758,-0.071923
4.8918,-2.5131,-0.93144
4.7939,-1.729,-0.64169
4.8703,-0.49128,-0.76545
4.5949,0.22307,-0.85975
4.3445,1.154,-1.0921
3.7596,1.8334,-1.0734
3.1977,2.4811,-1.0662
4.8226,-2.0471,-1.7089
4.9999,-1.2246,-1.9399
4.8067,-0.3168,-2.0031
4.6057,0.69645,-2.1665
4.2655,1.5898,-2.248
3.6103,2.4164,-1.98
-3.705,-2.2772,2.2565
-3.6938,-1.3758,2.6031
-3.4284,-0.19607,2.4723
-3.2979,1.1074,2.6644
-2.5848,2.6333,2.699
-4.0068,-2.2533,1.2899
-3.9578,-1.2764,1.4283
-3.6652,-0.13894,1.5369
-3.4544,1.0228,1.7137
-2.9014,2.3027,1.4923
-4.6384,-2.557,0.015131
-4.2083,-1.4389,0.57689
-4.3446,-0.48847,0.33139
-4.0814,0.30474,0.35592
-3.764,1.2378,0.085102
-3.3163,1.9782,0.071037
-2.7374,2.758,-0.071923
-4.8918,-2.5131,-0.93144
-4.7939,-1.729,-0.64169
-4.8703,-0.49128,-0.76545
-4.5949,0.22307,-0.85975
-4.3445,1.154,-1.0921
-3.7596,1.8334,-1.0734
-3.1977,2.4811,-1.0662
-4.8226,-2.0471,-1.7089
-4.9999,-1.2246,-1.9399
-4.8067,-0.3168,-2.0031
-4.6057,0.69645,-2.1665
-4.2655,1.5898,-2.248
-3.6103,2.4164,-1.98
